epoch,accuracy,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy,learning_rate
1,0.380708,1.616059,0.790180,0.619485,1.145072,0.873995,0.000010
2,0.380573,1.618092,0.789994,0.608675,1.160595,0.874130,0.000010
3,0.381409,1.616032,0.790264,0.607256,1.164718,0.872103,0.000010
4,0.381054,1.614795,0.790813,0.600973,1.165763,0.876157,0.000010
5,0.383081,1.609873,0.791219,0.607189,1.159322,0.874603,0.000005
6,0.386358,1.608314,0.790813,0.613337,1.151216,0.874198,0.000005
7,0.388351,1.605773,0.790839,0.612459,1.149637,0.874671,0.000005
8,0.390715,1.599779,0.791523,0.605837,1.158381,0.873387,0.000002
9,0.392143,1.598204,0.791557,0.601311,1.165852,0.873860,0.000002
10,0.391484,1.598574,0.791582,0.602121,1.164591,0.872509,0.000002
11,0.393426,1.595302,0.791337,0.606243,1.160192,0.873319,0.000001
12,0.394414,1.595561,0.791793,0.606175,1.159020,0.872982,0.000001
13,0.395141,1.594883,0.791008,0.607594,1.158016,0.872644,0.000001
14,0.395563,1.594541,0.791261,0.607459,1.157618,0.872576,0.000001
15,0.396196,1.594094,0.791894,0.606108,1.159512,0.872914,0.000001
16,0.394355,1.593257,0.791565,0.606986,1.158453,0.873522,0.000001
17,0.396188,1.593420,0.791489,0.608878,1.155936,0.872846,0.000001
18,0.395411,1.593131,0.791793,0.607864,1.156572,0.872982,0.000001
19,0.394600,1.593369,0.791320,0.605973,1.159818,0.872779,0.000001
20,0.396205,1.592213,0.791785,0.608608,1.155142,0.873184,0.000001
21,0.394093,1.591804,0.792046,0.607864,1.157825,0.873590,0.000001
