epoch,accuracy,auc,loss,precision,recall,top_3_acc,val_accuracy,val_auc,val_loss,val_precision,val_recall,val_top_3_acc,learning_rate
1,0.346640,0.756937,2.296287,0.356950,0.011148,0.775899,0.502061,0.852710,1.441310,0.638946,0.337410,0.822242,0.000100
2,0.358227,0.773360,1.720394,0.545520,0.006376,0.786777,0.450105,0.850006,1.499955,0.510687,0.329302,0.837781,0.000100
3,0.359958,0.777715,1.677103,0.559112,0.007229,0.787511,0.530775,0.863970,1.399583,0.623772,0.420512,0.823998,0.000100
4,0.360152,0.779773,1.665707,0.593438,0.007026,0.787477,0.542058,0.874069,1.325373,0.665359,0.412675,0.833187,0.000100
5,0.360389,0.781546,1.660215,0.593507,0.007719,0.787706,0.557868,0.882246,1.273895,0.666305,0.414702,0.855010,0.000100
6,0.361444,0.782775,1.656225,0.606192,0.008268,0.787773,0.573205,0.885455,1.252577,0.712750,0.376191,0.855956,0.000100
7,0.361748,0.783010,1.653697,0.598365,0.008656,0.787950,0.570299,0.884661,1.255439,0.684718,0.421999,0.851564,0.000100
8,0.361664,0.783460,1.651442,0.608472,0.008977,0.787849,0.572259,0.882008,1.288308,0.671896,0.448551,0.839673,0.000100
9,0.362551,0.783493,1.650187,0.612040,0.009273,0.787798,0.590838,0.891618,1.216677,0.731920,0.408216,0.858320,0.000100
10,0.361757,0.784043,1.648237,0.616947,0.008977,0.788390,0.516249,0.875694,1.321208,0.598005,0.388758,0.856158,0.000100
11,0.361596,0.783962,1.647973,0.617442,0.008969,0.788170,0.532329,0.877319,1.313903,0.604423,0.404365,0.861090,0.000100
12,0.362188,0.784241,1.647695,0.588806,0.008707,0.788406,0.563543,0.882939,1.266849,0.689034,0.421120,0.848051,0.000100
13,0.363556,0.785156,1.644455,0.647558,0.010303,0.788364,0.566718,0.886785,1.247192,0.676677,0.429295,0.854807,0.000050
14,0.363809,0.785282,1.644494,0.627451,0.011080,0.788550,0.585163,0.892804,1.210669,0.717491,0.401865,0.863861,0.000050
15,0.365067,0.785813,1.642230,0.634921,0.011148,0.789040,0.579218,0.893097,1.211362,0.684681,0.434835,0.868860,0.000050
16,0.364882,0.785907,1.642049,0.648400,0.012490,0.789082,0.601378,0.897081,1.187248,0.737148,0.410783,0.868658,0.000050
17,0.365625,0.786102,1.641195,0.642679,0.013048,0.789015,0.602932,0.898688,1.174157,0.738598,0.432201,0.869671,0.000050
18,0.365067,0.785662,1.642854,0.630542,0.012972,0.788753,0.607121,0.898116,1.183139,0.753239,0.408553,0.865550,0.000050
19,0.365549,0.786070,1.641789,0.639311,0.013487,0.789082,0.579285,0.893057,1.213097,0.680595,0.420377,0.870414,0.000050
20,0.364578,0.785653,1.642834,0.638937,0.012389,0.788685,0.600973,0.898228,1.181256,0.734505,0.412337,0.868185,0.000050
21,0.366174,0.787179,1.638739,0.640115,0.015066,0.789319,0.604621,0.899307,1.173050,0.735075,0.425917,0.871833,0.000025
